board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks,curve_member_count,curve_members,sector_ret_5d,sector_ret_20d,sector_trend_score
有色金属冶炼和压延加工业,有色金属冶炼和压延加工业,,,False,40,90,704.08,002149:西部材料#90 | 000933:神火股份#108 | 002842:翔鹭钨业#137 | 002167:东方锆业#162 | 002466:天齐锂业#172 | 600111:北方稀土#201 | 600362:江西铜业#202 | 002460:赣锋锂业#259,,,,,50.0
医药制造业,医药制造业,,,False,36,48,789.42,603538:美诺华#48 | 300255:常山药业#51 | 002317:众生药业#64 | 600276:恒瑞医药#115 | 002821:凯莱英#284 | 002294:信立泰#319 | 600488:津药药业#327 | 603087:甘李药业#361,,,,,50.0
电力、热力生产和供应业,电力、热力生产和供应业,,,False,32,46,965.22,600396:华电辽能#46 | 601991:大唐发电#71 | 600821:金开新能#105 | 600900:长江电力#260 | 600863:华能蒙电#356 | 600726:华电能源#362 | 001896:豫能控股#383 | 000601:韶能股份#595,,,,,50.0
资本市场服务,资本市场服务,,,False,25,22,930.88,300059:东方财富#22 | 600030:中信证券#131 | 600909:华安证券#167 | 000783:长江证券#331 | 601066:中信建投#377 | 601162:天风证券#389 | 600999:招商证券#399 | 601211:国泰海通#583,,,,,50.0
通用设备制造业,通用设备制造业,,,False,24,13,899.67,002202:金风科技#13 | 002774:快意电梯#268 | 002472:双环传动#302 | 002272:川润股份#338 | 603667:五洲新春#345 | 601615:明阳智能#351 | 002639:雪人集团#483 | 300145:南方泵业#618,,,,,50.0
有色金属矿采选业,有色金属矿采选业,,,False,24,62,878.25,002192:融捷股份#62 | 601899:紫金矿业#106 | 603993:洛阳钼业#136 | 600988:赤峰黄金#326 | 601168:西部矿业#466 | 601958:金钼股份#499 | 000506:招金黄金#541 | 002155:湖南黄金#610,,,,,50.0
非金属矿物制品业,非金属矿物制品业,,,False,22,73,857.14,600176:中国巨石#73 | 002457:青龙管业#160 | 603601:再升科技#215 | 300861:美畅股份#380 | 000672:上峰材料#470 | 601636:旗滨集团#471 | 002080:中材科技#495 | 605006:山东玻纤#495,,,,,50.0
汽车制造业,汽车制造业,,,False,20,66,908.1,000901:航天科技#66 | 002594:比亚迪#78 | 600418:江淮汽车#384 | 601127:赛力斯#385 | 000981:山子高科#463 | 000700:模塑科技#568 | 000980:众泰汽车#624 | 301607:富特科技#719,,,,,50.0
金属制品业,金属制品业,,,False,14,14,1068.79,002342:巨力索具#14 | 002297:博云新材#300 | 301307:美利信#756 | 605376:博迁新材#908 | 002969:嘉美包装#959 | 002132:恒星科技#995 | 301377:鼎泰高科#1004 | 002514:*ST宝馨#1244,,,,,50.0
酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,,,False,14,41,738.71,600519:贵州茅台#41 | 000858:五 粮 液#83 | 000568:泸州老窖#446 | 600809:山西汾酒#469 | 600702:舍得酒业#602 | 002568:百润股份#665 | 000799:酒鬼酒#679 | 600199:金种子酒#770,,,,,50.0
橡胶和塑料制品业,橡胶和塑料制品业,,,False,14,75,1092.86,000887:中鼎股份#75 | 002812:恩捷股份#289 | 002585:双星新材#429 | 603726:朗迪集团#530 | 000973:佛塑科技#1065 | 000859:国风新材#1084 | 603051:鹿山新材#1090 | 002522:浙江众成#1304,,,,,50.0
