board_type,board,stock_count,best_rank,avg_rank,top_stocks
concept,海峡西岸,24,16,838.96,000547:航天发展#16 | 300102:乾照光电#50 | 002396:星网锐捷#170 | 002674:兴业科技#265 | 600436:片仔癀#410
concept,涉矿概念,24,16,922.46,000547:航天发展#16 | 600745:*ST闻泰#34 | 002192:融捷股份#62 | 000100:TCL科技#77 | 600759:ST洲际#120
concept,皖江区域,24,19,658.54,002361:神剑股份#19 | 000887:中鼎股份#75 | 002208:合肥城建#94 | 300274:阳光电源#97 | 002607:中公教育#133
concept,节能环保,24,30,873.62,002407:多氟多#30 | 000100:TCL科技#77 | 600378:昊华科技#145 | 000811:冰轮环境#247 | 002015:协鑫能科#390
concept,本月解禁,24,118,796.58,002371:北方华创#118 | 002617:露笑科技#130 | 002475:立讯精密#141 | 002471:中超控股#290 | 002472:双环传动#302
concept,触摸屏,23,1,624.17,002185:华天科技#1 | 600584:长电科技#3 | 002156:通富微电#26 | 600360:华微电子#40 | 000636:风华高科#63
concept,风能,23,13,753.43,002202:金风科技#13 | 600396:华电辽能#46 | 300274:阳光电源#97 | 000970:中科三环#272 | 600089:特变电工#286
concept,小米概念,23,25,806.43,002384:东山精密#25 | 300433:蓝思科技#173 | 002600:领益智造#216 | 002456:欧菲光#220 | 300458:全志科技#228
concept,核电核能,23,71,912.96,601991:大唐发电#71 | 002149:西部材料#90 | 002364:中恒电气#125 | 002167:东方锆业#162 | 600089:特变电工#286
concept,苹果概念,22,13,617.18,002202:金风科技#13 | 002241:歌尔股份#68 | 300136:信维通信#72 | 002594:比亚迪#78 | 002475:立讯精密#141
concept,金融改革,22,29,828.68,002131:利欧股份#29 | 002552:宝鼎科技#174 | 002600:领益智造#216 | 600330:天通股份#404 | 002245:蔚蓝锂芯#411
concept,上海本地,22,159,928.86,600150:中国船舶#159 | 600601:方正科技#218 | 600151:航天机电#246 | 600641:先导基电#276 | 600602:云赛智联#520
concept,无线耳机,21,2,612.9,603986:兆易创新#2 | 002156:通富微电#26 | 002241:歌尔股份#68 | 300136:信维通信#72 | 300184:力源信息#121
concept,绿色照明,21,3,497.19,600584:长电科技#3 | 002384:东山精密#25 | 600360:华微电子#40 | 300102:乾照光电#50 | 002402:和而泰#57
concept,5G概念,21,28,467.86,002115:三维通信#28 | 600487:亨通光电#32 | 000063:中兴通讯#33 | 600522:中天科技#37 | 002281:光迅科技#60
concept,陕甘宁,19,1,642.68,002185:华天科技#1 | 600343:航天动力#45 | 002149:西部材料#90 | 600707:彩虹股份#122 | 002457:青龙管业#160
concept,长株潭,19,86,900.37,002261:拓维信息#86 | 002297:博云新材#300 | 002549:凯美特气#459 | 601636:旗滨集团#471 | 002155:湖南黄金#610
