code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at
601778,SH601778,晶科科技,718,1.0,366.0,1359.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电力、热力生产和供应业,电力、热力生产和供应业,,光伏,光伏,1,False,电力、热力生产和供应业,,,电力、热力生产和供应业,,,,non_tech_primary_industry,2026-07-11T18:23:53
301607,SZ301607,富特科技,719,-3.0,-593.0,4531.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,汽车制造业,汽车制造业,C 制造业,,,0,False,汽车制造业,,,汽车制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
000526,SZ000526,学大教育,720,0.0,2802.0,42.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
002183,SZ002183,怡 亚 通,721,0.0,132.0,1921.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,商务服务业,商务服务业,L 商务服务,上海自贸;前海概念;民营银行;物联网;白酒概念;股权激励;金融改革,上海自贸,7,False,商务服务业,,,商务服务业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600875,SH600875,东方电气,722,1.0,73.0,2125.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,通用设备制造业,通用设备制造业,,低碳经济;保险重仓;含H股;央企50;成渝特区;整体上市;新能源;核电核能;融资融券;钒电池;风电;风能;风能概念,低碳经济,13,False,通用设备制造业,,,通用设备制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600171,SH600171,上海贝岭,723,-1.0,-412.0,4114.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,上海本地;券商重仓;参股金融;物联网;触摸屏;金融参股,上海本地,6,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
002730,SZ002730,电光科技,724,0.0,1877.0,166.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
300450,SZ300450,先导智能,725,0.0,-55.0,2733.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,C 制造业,C 制造业,BC电池;光伏;光伏概念;固态电池;锂电池,BC电池,5,False,C 制造业,,,C 制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
300434,SZ300434,金石亚药,726,1.0,492.0,1142.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
002520,SZ002520,日发精机,727,1.0,-138.0,3136.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,通用设备制造业,通用设备制造业,C 制造业,业绩预降;军工航天;军民融合;国防军工;智能机器;机器人概念;赛马概念,业绩预降,7,False,通用设备制造业,,,通用设备制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
002907,SZ002907,华森制药,729,-3.0,-617.0,4575.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
601088,SH601088,中国神华,730,1.0,-11.0,2491.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,煤炭开采和洗选业,煤炭开采和洗选业,,保险重仓;含H股;基金重仓;央企50;融资融券;超大盘,保险重仓,6,False,煤炭开采和洗选业,,,煤炭开采和洗选业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600520,SH600520,三佳科技,731,-2.0,-543.0,4446.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电气机械和器材制造业,电气机械和器材制造业,,ST板块;皖江区域,ST板块,2,True,科技,半导体与先进封装,先进封装,科技>半导体与先进封装>先进封装,半导体与先进封装,先进封装,先进封装,ths,2026-07-11T18:23:53
603687,SH603687,大胜达,731,1.0,1.0,2420.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,造纸和纸制品业,造纸和纸制品业,,,,0,False,造纸和纸制品业,,,造纸和纸制品业,,,,non_tech_primary_industry,2026-07-11T18:23:53
601995,SH601995,中金公司,732,0.0,-399.0,4067.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,资本市场服务,资本市场服务,,,,0,False,资本市场服务,,,资本市场服务,,,,non_tech_primary_industry,2026-07-11T18:23:53
600845,SH600845,宝信软件,733,2.0,-319.0,3834.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,软件和信息技术服务业,软件和信息技术服务业,,含B股;国产软件;物联网;电商概念,含B股,4,True,科技,软件AI与信创,软件信息服务,科技>软件AI与信创>软件信息服务,软件AI与信创,软件信息服务,industry_fallback,industry_fallback,2026-07-11T18:23:53
000975,SZ000975,山金国际,735,-1.0,472.0,1173.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,有色金属矿采选业;石油和天然气开采业,有色金属矿采选业,B 采矿业,业绩预升;新能源;黄金概念,业绩预升,3,False,有色金属矿采选业,,,有色金属矿采选业,,,,non_tech_primary_industry,2026-07-11T18:23:53
002251,SZ002251,步步高,737,0.0,678.0,886.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,零售业,零售业,F 批发零售,内贸规划;长株潭,内贸规划,2,False,零售业,,,零售业,,,,non_tech_primary_industry,2026-07-11T18:23:53
688002,SH688002,睿创微纳,737,-1.0,-65.0,2791.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,科创50,科创50,1,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
002130,SZ002130,沃尔核材,738,0.0,256.0,1601.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,大飞机;核电核能;股权激励;节能环保;超导概念;钠电池;风电;风能;高压快充,大飞机,9,True,科技,光通信与高速互联,铜缆高速连接,科技>光通信与高速互联>铜缆高速连接,光通信与高速互联;半导体与先进封装;电子制造与通信设备,铜缆高速连接;芯片/半导体;其他电子通信,铜缆高速连接;华为海思概念股;industry_fallback,ths,2026-07-11T18:23:53
